zcta,pct_blk,medhouseholdincome,pct_owner_occ,hispanic,education
00601,0.014188952469928764,15292.0,0.8265703168426903,0.994861613920355,0.5379528464634847
00602,0.018155429476184193,18716.0,0.8606315134546586,0.9407309671460615,0.590885684860968
00603,0.03421116900032563,16789.0,0.9056750453485359,0.9793430478671442,0.4312018140589569
00606,0.004694835680751174,18835.0,0.8465447154471545,0.9928708050773778,0.6577540106951871
00610,0.024547853018774136,21239.0,0.854936198791135,0.9579398156999197,0.5059929928084086
00611,0.010132501948558068,17143.0,0.8015564202334631,0.950896336710834,0.5485074626865671
00612,0.030207520674052114,19934.0,0.8888460054033192,0.9924949290060852,0.3834668114564952
00616,0.06322403298645199,19130.0,0.9018551765409935,0.9974474769291184,0.5237423601316408
00617,0.04078410735429549,19048.0,0.8592071611253197,0.9931587948954085,0.48024718605164424
00622,0.04438137014578764,17728.0,0.8967371817855863,0.985937298413108,0.5944719471947195
00623,0.03737516392615757,18690.0,0.9011698844469963,0.9926359326137395,0.5246279847733303
00624,0.027701715954728003,18136.0,0.8844870725604671,0.9913745892661555,0.5507094062007357
00627,0.014201003497035122,19745.0,0.9401777073986101,0.9931883837615935,0.5591491841491841
00631,0.0,15234.0,0.9848484848484849,1.0,0.6356589147286822
00636,0.0,-666666666.0,0.6283783783783784,1.0,1.0
00637,0.015380604796663191,19042.0,0.9177730192719487,0.9904414320472714,0.479489516864175
00638,0.023121714059585054,18968.0,0.8957228116710876,0.9918593476171632,0.6154221571498292
00641,0.014168171784065825,16233.0,0.8941999082989455,0.9883202889825407,0.5125348189415042
00646,0.08707321122240053,29568.0,0.8643682036584338,0.9702285429693985,0.3815585221980751
00647,0.05098114659484417,14430.0,0.9776855215360665,0.9913428241631397,0.3951935914552737
00650,0.016362492133417242,20362.0,0.9253441923598992,0.9920984546535208,0.5187279151943462
00652,0.02474162229877858,23813.0,0.852,0.970873786407767,0.40745672436750996
00653,0.04747774480712166,11788.0,0.8407128933444723,0.9841740850642928,0.5491967871485943
00656,0.017066494928352924,19054.0,0.8770152003684938,0.9968335748403371,0.3957415565345081
00659,0.021105929380413058,20694.0,0.8574996216134403,0.9956828780812792,0.4941558441558442
00660,0.02200895713371721,20770.0,0.8884244372990354,0.991234804862444,0.40493601462522855
00662,0.06848875391946276,17375.0,0.8966652354372406,0.9823716761721354,0.4699318769086211
00664,0.029672217816547712,16389.0,0.8943359375,0.9879064234734338,0.4118502362777172
00667,0.015127825903232622,15426.0,0.9273792839852211,0.9795901119797169,0.4964004113815564
00669,0.01811763858372654,17589.0,0.8768599281682914,0.9904909411807081,0.5482585340495582
00670,0.007319304666056725,15516.0,0.812807881773399,0.9923376029277219,0.6664893617021277
00674,0.03275291263362733,19103.0,0.8699175729029577,0.9789228941848417,0.49874515172256445
00676,0.04217210779125621,17423.0,0.8656384284837324,0.9936768976091617,0.5699899295065458
00677,0.013990147783251231,24325.0,0.8563248308172826,0.9207881773399015,0.5006478362270018
00678,0.027248379458913945,18269.0,0.8652198107957707,0.9804370609012926,0.48859315589353614
00680,0.02735082423960994,15340.0,0.9444885461555909,0.9960761550963547,0.4763447276447021
00682,0.030927835051546393,15678.0,0.9144847264182612,0.9866419411616797,0.39190803224843235
00683,0.014259708737864078,16764.0,0.9308833131237758,0.9884371628910464,0.45412963930998435
00685,0.03194005327491349,16785.0,0.8692764273600905,0.9621847693494984,0.5569912805967013
00687,0.04048986893253982,21598.0,0.8332297493267039,0.9963535037324985,0.6050607287449393
00688,0.017659279778393353,16181.0,0.9631087063453025,0.9956717451523546,0.6217244294167371
00690,0.03281325398101979,18142.0,0.8271604938271605,0.997426411452469,0.3443759630200308
00692,0.07781014087855911,22144.0,0.8109560544335616,0.9910241930690127,0.4791601378878095
00693,0.05027962811242119,21647.0,0.8405466970387244,0.9780750187012431,0.45309810671256456
00694,0.0,-666666666.0,0.5,1.0,0.3055555555555556
00698,0.03765874882408279,16403.0,0.8638275950888641,0.9893285512699906,0.41229539889160977
00703,0.05911763529458822,22023.0,0.8772220382024953,0.9938802447902084,0.5424940428911835
00704,0.2802618749129405,18917.0,0.8552890287062525,0.9871848446858894,0.31619786614936957
00705,0.13971491767018923,21282.0,0.9022227340780836,0.9977062341279593,0.4155530809205642
00707,0.5255770136599152,21365.0,0.9404421326397919,0.9960433349034385,0.3999181334424887
00714,0.24921213619230057,14933.0,0.9064584350089474,0.9954890934931718,0.36244674376141206
00715,0.11133200795228629,13787.0,0.9862671660424469,1.0,0.5518453427065027
00716,0.0633604843941469,19164.0,0.9569438202247191,0.9913861457507388,0.3287433155080214
00717,0.06720208676551345,12228.0,0.993279149734292,0.9927924217462932,0.27564265716467296
00718,0.015974713821971638,18333.0,0.8771128932757557,0.9903468306851188,0.436723423838012
00719,0.07210285907629843,19197.0,0.9075212866603595,0.9996278125528676,0.5996432625263499
00720,0.04619394700004827,15485.0,0.8212471131639723,0.9928078389728242,0.5586622807017544
00723,0.5450968336919766,18107.0,0.8845630737844271,1.0,0.4446206714247951
00725,0.08766566017712532,24262.0,0.9021470960858838,0.9797101815471302,0.31890864363189086
00727,0.0978439872039978,31204.0,0.844085742461203,0.985121808097825,0.3762550460614843
00728,0.06511381683430387,20542.0,0.909991552108133,0.9940759787239406,0.38357300884955753
00729,0.13343148029112323,24289.0,0.8812995341520963,0.9986522072697867,0.45329038196042337
00730,0.04390845388108628,16734.0,0.9075433390598157,0.9926919491143124,0.39302180685358257
00731,0.05848531129278591,15097.0,0.8682939232138317,0.9983828946186326,0.514783927217589
